~ElapsedTime,"Traffic Item 1:Tx Frames","Traffic Item 1:Rx Frames","Traffic Item 1:Frames Delta","Traffic Item 1:Loss %","Traffic Item 1:Tx Frame Rate","Traffic Item 1:Rx Frame Rate","Traffic Item 1:Tx L1 Rate (bps)","Traffic Item 1:Rx L1 Rate (bps)","Traffic Item 1:Rx Bytes","Traffic Item 1:Tx Rate (Bps)","Traffic Item 1:Rx Rate (Bps)","Traffic Item 1:Tx Rate (bps)","Traffic Item 1:Rx Rate (bps)","Traffic Item 1:Tx Rate (Kbps)","Traffic Item 1:Rx Rate (Kbps)","Traffic Item 1:Tx Rate (Mbps)","Traffic Item 1:Rx Rate (Mbps)","Traffic Item 1:Store-Forward Avg Latency (ns)","Traffic Item 1:Store-Forward Min Latency (ns)","Traffic Item 1:Store-Forward Max Latency (ns)","Traffic Item 1:First TimeStamp","Traffic Item 1:Last TimeStamp","Traffic Item 1:Dead Flow","Traffic Item 1:Formatted Timestamp"
48,53466836,987559,52479277,98.153,"","","","",493779500,"","","","","","","","",123169528,214722,458706690,467295842,6320290127,0,":48"
50,71736064,1350596,70385468,98.117,9134614.000,181518.500,37999994240.000,755116960.000,675298000,4567307000.000,90759250.000,36538456000.000,726074000.000,36538456.000,726074.000,36538.456,726.074,119443013,214722,458706690,467295842,8320290517,0,":50"
52,90005296,1718570,88286726,98.091,9134616.000,183987.000,38000002560.000,765385920.000,859285000,4567308000.000,91993500.000,36538464000.000,735948000.000,36538464.000,735948.000,36538.464,735.948,117070455,214722,458706690,467295842,10320286527,0,":52"
54,108274528,2048788,106225740,98.108,9134616.000,165109.000,38000002560.000,686853440.000,1024394000,4567308000.000,82554500.000,36538464000.000,660436000.000,36538464.000,660436.000,36538.464,660.436,117342794,214722,458706690,467295842,12320284922,0,":54"
56,126543760,2366571,124177189,98.130,9134616.000,158891.500,38000002560.000,660988640.000,1183285500,4567308000.000,79445750.000,36538464000.000,635566000.000,36538464.000,635566.000,36538.464,635.566,118195232,214722,458706690,467295842,14320287877,0,":56"
58,144812992,2682459,142130533,98.148,9134616.000,157944.000,38000002560.000,657047040.000,1341229500,4567308000.000,78972000.000,36538464000.000,631776000.000,36538464.000,631776.000,36538.464,631.776,118969711,214722,458706690,467295842,16320278535,0,":58"
60,163082220,2988144,160094076,98.168,9134614.000,152842.500,37999994240.000,635824800.000,1494072000,4567307000.000,76421250.000,36538456000.000,611370000.000,36538456.000,611370.000,36538.456,611.370,120709122,214722,458706690,467295842,18320276275,0,"1:00"
62,181351452,3349981,178001471,98.153,9134616.000,180918.500,38000002560.000,752620960.000,1674990500,4567308000.000,90459250.000,36538464000.000,723674000.000,36538464.000,723674.000,36538.464,723.674,119497876,214722,458706690,467295842,20320283487,0,"1:02"
64,199620684,3715778,195904906,98.139,9134616.000,182898.500,38000002560.000,760857760.000,1857889000,4567308000.000,91449250.000,36538464000.000,731594000.000,36538464.000,731594.000,36538.464,731.594,118326751,214722,458706690,467295842,22320279870,0,"1:04"
66,217889916,4078069,213811847,98.128,9134616.000,181145.500,38000002560.000,753565280.000,2039034500,4567308000.000,90572750.000,36538464000.000,724582000.000,36538464.000,724582.000,36538.464,724.582,117498183,214722,458706690,467295842,24320287642,0,"1:06"
68,236159148,4444609,231714539,98.118,9134616.000,183270.000,38000002560.000,762403200.000,2222304500,4567308000.000,91635000.000,36538464000.000,733080000.000,36538464.000,733080.000,36538.464,733.080,116678573,214722,458706690,467295842,26320279237,0,"1:08"
70,254428376,4806927,249621449,98.111,9134614.000,181159.000,37999994240.000,753621440.000,2403463500,4567307000.000,90579500.000,36538456000.000,724636000.000,36538456.000,724636.000,36538.456,724.636,116070852,214722,458706690,467295842,28320285890,0,"1:10"
72,272697608,5172052,267525556,98.103,9134616.000,182562.500,38000002560.000,759460000.000,2586026000,4567308000.000,91281250.000,36538464000.000,730250000.000,36538464.000,730250.000,36538.464,730.250,115513985,214722,458706690,467295842,30320285747,0,"1:12"
74,290966840,5539175,285427665,98.096,9134616.000,183561.500,38000002560.000,763615840.000,2769587500,4567308000.000,91780750.000,36538464000.000,734246000.000,36538464.000,734246.000,36538.464,734.246,114962068,214722,458706690,467295842,32320286430,0,"1:14"
76,309236072,5899482,303336590,98.092,9134616.000,180153.500,38000002560.000,749438560.000,2949741000,4567308000.000,90076750.000,36538464000.000,720614000.000,36538464.000,720614.000,36538.464,720.614,114629373,214722,458706690,467295842,34320286345,0,"1:16"
78,327505304,6263222,321242082,98.088,9134616.000,181870.000,38000002560.000,756579200.000,3131611000,4567308000.000,90935000.000,36538464000.000,727480000.000,36538464.000,727480.000,36538.464,727.480,114265248,214722,458706690,467295842,36320286017,0,"1:18"
80,345774532,6627266,339147266,98.083,9134614.000,182022.000,37999994240.000,757211520.000,3313633000,4567307000.000,91011000.000,36538456000.000,728088000.000,36538456.000,728088.000,36538.456,728.088,113946059,214722,458706690,467295842,38320290157,0,"1:20"
82,364043764,6985772,357057992,98.081,9134616.000,179253.000,38000002560.000,745692480.000,3492886000,4567308000.000,89626500.000,36538464000.000,717012000.000,36538464.000,717012.000,36538.464,717.012,113758408,214722,458706690,467295842,40320287545,0,"1:22"
84,382312996,7345558,374967438,98.079,9134616.000,179893.000,38000002560.000,748354880.000,3672779000,4567308000.000,89946500.000,36538464000.000,719572000.000,36538464.000,719572.000,36538.464,719.572,113548094,214722,458706690,467295842,42320287930,0,"1:24"
86,400582228,7710604,392871624,98.075,9134616.000,182523.000,38000002560.000,759295680.000,3855302000,4567308000.000,91261500.000,36538464000.000,730092000.000,36538464.000,730092.000,36538.464,730.092,113298877,214722,458706690,467295842,44320289982,0,"1:26"
88,418851460,8077301,410774159,98.072,9134616.000,183348.500,38000002560.000,762729760.000,4038650500,4567308000.000,91674250.000,36538464000.000,733394000.000,36538464.000,733394.000,36538.464,733.394,113032246,214722,458706690,467295842,46320282217,0,"1:28"
90,437120688,8442324,428678364,98.069,9134614.000,182511.500,37999994240.000,759247840.000,4221162000,4567307000.000,91255750.000,36538456000.000,730046000.000,36538456.000,730046.000,36538.456,730.046,112816385,214722,458706690,467295842,48320289762,0,"1:30"
92,455389920,8803416,446586504,98.067,9134616.000,180546.000,38000002560.000,751071360.000,4401708000,4567308000.000,90273000.000,36538464000.000,722184000.000,36538464.000,722184.000,36538.464,722.184,112656701,214722,458706690,467295842,50320288037,0,"1:32"
94,473659152,9170048,464489104,98.064,9134616.000,183316.000,38000002560.000,762594560.000,4585024000,4567308000.000,91658000.000,36538464000.000,733264000.000,36538464.000,733264.000,36538.464,733.264,112461979,214722,458706690,467295842,52320290350,0,"1:34"
96,491928384,9530425,482397959,98.063,9134616.000,180188.500,38000002560.000,749584160.000,4765212500,4567308000.000,90094250.000,36538464000.000,720754000.000,36538464.000,720754.000,36538.464,720.754,112337481,214722,458706690,467295842,54320284895,0,"1:36"
98,510197616,9895455,500302161,98.060,9134616.000,182515.000,38000002560.000,759262400.000,4947727500,4567308000.000,91257500.000,36538464000.000,730060000.000,36538464.000,730060.000,36538.464,730.060,112184376,214722,458706690,467295842,56320286417,0,"1:38"
100,528466844,10258813,518208031,98.059,9134614.000,181679.000,37999994240.000,755784640.000,5129406500,4567307000.000,90839500.000,36538456000.000,726716000.000,36538456.000,726716.000,36538.456,726.716,112055694,214722,458706690,467295842,58320283175,0,"1:40"
102,546736076,10622035,536114041,98.057,9134616.000,181611.000,38000002560.000,755501760.000,5311017500,4567308000.000,90805500.000,36538464000.000,726444000.000,36538464.000,726444.000,36538.464,726.444,111935814,214722,458706690,467295842,60320280307,0,"1:42"
104,565005308,10968522,554036786,98.059,9134616.000,173243.500,38000002560.000,720692960.000,5484261000,4567308000.000,86621750.000,36538464000.000,692974000.000,36538464.000,692974.000,36538.464,692.974,111983466,214722,458706690,467295842,62320286895,0,"1:44"
106,583274540,11317272,571957268,98.060,9134616.000,174375.000,38000002560.000,725400000.000,5658636000,4567308000.000,87187500.000,36538464000.000,697500000.000,36538464.000,697500.000,36538.464,697.500,112026777,214722,458706690,467295842,64320288287,0,"1:46"
108,601543772,11680201,589863571,98.058,9134616.000,181464.500,38000002560.000,754892320.000,5840100500,4567308000.000,90732250.000,36538464000.000,725858000.000,36538464.000,725858.000,36538.464,725.858,111914539,214722,458706690,467295842,66320284915,0,"1:48"
110,619813000,12047455,607765545,98.056,9134614.000,183627.000,37999994240.000,763888320.000,6023727500,4567307000.000,91813500.000,36538456000.000,734508000.000,36538456.000,734508.000,36538.456,734.508,111780569,214722,458706690,467295842,68320289382,0,"1:50"
112,638082232,12411487,625670745,98.055,9134616.000,182016.000,38000002560.000,757186560.000,6205743500,4567308000.000,91008000.000,36538464000.000,728064000.000,36538464.000,728064.000,36538.464,728.064,111679907,214722,458706690,467295842,70320289320,0,"1:52"
114,656351464,12776463,643575001,98.053,9134616.000,182488.000,38000002560.000,759150080.000,6388231500,4567308000.000,91244000.000,36538464000.000,729952000.000,36538464.000,729952.000,36538.464,729.952,111576096,214722,458706690,467295842,72320285637,0,"1:54"
116,674620696,13140182,661480514,98.052,9134616.000,181859.500,38000002560.000,756535520.000,6570091000,4567308000.000,90929750.000,36538464000.000,727438000.000,36538464.000,727438.000,36538.464,727.438,111487489,214722,458706690,467295842,74320288777,0,"1:56"
118,692889928,13503816,679386112,98.051,9134616.000,181817.000,38000002560.000,756358720.000,6751908000,4567308000.000,90908500.000,36538464000.000,727268000.000,36538464.000,727268.000,36538.464,727.268,111405270,214722,458706690,467295842,76320287600,0,"1:58"
